﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2020/21"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2022
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","First degree","Foundation degree","HNC/HND","Professional graduate certificate in education","Other undergraduate","Total undergraduate"
"10007795","The University of Leeds","7,275","75","0","0","125","7,475"
"10003863","Leeds Trinity University","660","15","0","40","170","885"
"10007796","The University of Leicester","3,045","0","0","15","150","3,210"
"10007151","The University of Lincoln","4,110","50","0","0","630","4,785"
"10003956","Liverpool Hope University","1,030","0","0","0","145","1,170"
"10003957","Liverpool John Moores University","5,100","55","50","0","515","5,720"
"10003945","The Liverpool Institute for Performing Arts","235","0","0","0","10","250"
"10006842","The University of Liverpool","6,760","0","0","0","270","7,030"
"10003958","Liverpool School of Tropical Medicine","0","0","0","0","0","0"
"10007820","Grŵp Llandrillo Menai","130","140","25","15","105","415"
"10007162","University of the Arts, London","4,080","0","0","0","530","4,610"
"10013109","London Bridge Business Academy","0","0","60","0","0","60"
"10007769","London Business School","0","0","0","0","0","0"
"10030391","London Churchill College Ltd","0","0","295","0","0","295"
"10007797","University of London (Institutes and activities)","240","0","0","0","115","350"
"10039082","City and Guilds of London Art School","30","0","0","0","85","115"
"10023434","London School of Commerce & IT Limited","0","0","0","0","60","60"
"10004036","London Film School Limited","0","0","0","0","0","0"
"10015506","The London College UCK","175","0","405","0","0","580"
"10004048","London Metropolitan University","1,425","10","0","25","330","1,785"
"10032594","London School of Academics Ltd","0","0","0","0","125","125"
"10004078","London South Bank University","2,615","190","190","0","235","3,230"
"10004063","London School of Economics and Political Science","1,700","0","0","0","0","1,700"
"10007771","London School of Hygiene and Tropical Medicine","0","0","0","0","0","0"
"10022285","London School of Management Education","75","0","20","0","55","150"
"10004075","London School of Theology","40","0","0","0","20","60"
"10004079","London Studio Centre","90","0","0","0","0","90"
"10062810","The London School of Architecture","0","0","0","0","0","0"
"10008289","The London Institute of Banking & Finance","75","0","0","0","10","85"
"10004035","The Film Education Training Trust Limited","15","0","0","0","0","15"
"10004113","Loughborough University","3,710","0","0","0","115","3,825"
"10009612","Luther King House Educational Trust","10","0","0","0","5","10"
"10004180","The Manchester Metropolitan University","7,170","0","0","0","500","7,675"
"10007798","The University of Manchester","7,315","0","0","0","275","7,595"
"10009527","Istituto Marangoni Limited","170","45","0","0","40","260"
"10023452","The Markfield Institute of Higher Education","30","0","0","0","0","30"
